Date,Predicted_HashRate,Actual_HashRate
2023-04-19,2.973709560877727e+20,3.308914011348031e+20
2023-04-20,3.245827994052541e+20,3.2206040895358645e+20
2023-04-21,3.272755888993545e+20,3.5111849096443645e+20
2023-04-22,3.2549054622064856e+20,3.608045183013864e+20
2023-04-23,3.147218992827227e+20,3.5596150463291136e+20
2023-04-24,3.137085092915756e+20,3.414324636274864e+20
2023-04-25,3.137085092915756e+20,3.0268835427968654e+20
2023-04-26,3.137085092915756e+20,3.1479588845087405e+20
2023-04-27,3.450176434818704e+20,3.1479588845087405e+20
2023-04-28,3.248135984544257e+20,3.5596150463291136e+20
2023-04-29,3.4636088681573345e+20,3.317464362905365e+20
2023-04-30,3.84408872841428e+20,3.5838301146714885e+20
2023-05-01,3.137085092915756e+20,4.407142438312236e+20
2023-05-02,3.258835708943035e+20,3.1237438161663656e+20
2023-05-03,3.307452852915786e+20,3.414324636274864e+20
2023-05-04,3.137085092915756e+20,3.5353999779867394e+20
2023-05-05,3.340711896638544e+20,2.8397779847865015e+20
2023-05-06,3.1504139470517456e+20,3.5556884011192327e+20
2023-05-07,3.058761377934329e+20,3.3170515956749894e+20
2023-05-08,3.2905264706543754e+20,3.26932423458614e+20
2023-05-09,3.4955044434856464e+20,3.603415762208082e+20
2023-05-10,3.254739833148707e+20,4.0568256925521445e+20
2023-05-11,3.0496334873589514e+20,3.603415762208082e+20
2023-05-12,3.138539852065227e+20,3.364778956763838e+20
2023-05-13,3.4947877735103155e+20,3.4602336789415356e+20
2023-05-14,3.195411589841512e+20,4.1522804147298435e+20
2023-05-15,3.263814609770771e+20,3.507961040030384e+20
2023-05-16,3.34793138254047e+20,3.6511431232969304e+20
2023-05-17,3.0900555547831796e+20,3.8181888871079005e+20
2023-05-18,3.240237740905102e+20,3.4730120381571006e+20
2023-05-19,2.5618455108059437e+20,3.6946936576139375e+20
2023-05-20,3.2576726619983145e+20,3.226699127649506e+20
2023-05-21,3.1482845521655824e+20,3.7193249486646975e+20
2023-05-22,3.33700648855656e+20,3.54690591130938e+20
2023-05-23,3.1713491860353234e+20,3.793218821816976e+20
2023-05-24,3.355085157932814e+20,3.4730120381571006e+20
2023-05-25,3.416749836408814e+20,3.7193249486646975e+20
2023-05-26,3.309075429913362e+20,3.768587530766216e+20
2023-05-27,3.5463786200359974e+20,3.57153720236014e+20
2023-05-28,3.607896744488512e+20,3.9410065681215344e+20
2023-05-29,3.4981509620044425e+20,3.990269150223052e+20
2023-05-30,3.2571542556902654e+20,3.793218821816976e+20
2023-05-31,3.014117614223165e+20,3.4730120381571006e+20
2023-06-01,3.6898169640515804e+20,3.361872094940777e+20
2023-06-02,3.137085092915756e+20,4.176871390683995e+20
